c,d,dp,h,l,o,pc,t,currency
1914.21,9.43,0.4951,1929.05,1882.17,1904.78,1904.78,2023-07-19 13:12:43,BINANCE:ETHUSDT
1914.22,10.08,0.5294,1929.05,1882.17,1904.13,1904.14,2023-07-19 13:13:03,BINANCE:ETHUSDT
1913.8,10.11,0.5311,1929.05,1882.17,1903.69,1903.69,2023-07-19 13:14:02,BINANCE:ETHUSDT
1913.85,9.5,0.4989,1929.05,1882.17,1904.35,1904.35,2023-07-19 13:15:01,BINANCE:ETHUSDT
1913.91,10.62,0.5579999999999999,1929.05,1882.17,1903.29,1903.29,2023-07-19 13:16:01,BINANCE:ETHUSDT
1914.3,10.16,0.5336,1929.05,1882.17,1904.15,1904.14,2023-07-19 13:17:00,BINANCE:ETHUSDT
1913.44,10.3,0.5412,1929.05,1882.17,1903.14,1903.14,2023-07-19 13:17:59,BINANCE:ETHUSDT
1914.71,10.31,0.5414,1929.05,1882.17,1904.4,1904.4,2023-07-19 13:18:58,BINANCE:ETHUSDT
1915.12,10.04,0.527,1929.05,1882.17,1905.08,1905.08,2023-07-19 13:20:03,BINANCE:ETHUSDT
1915.49,10.48,0.5501,1929.05,1882.17,1905.01,1905.01,2023-07-19 13:20:50,BINANCE:ETHUSDT
1915.89,11.49,0.6033,1929.05,1882.17,1904.38,1904.4,2023-07-19 13:22:02,BINANCE:ETHUSDT
1916.65,12.13,0.6369,1929.05,1882.17,1904.52,1904.52,2023-07-19 13:22:53,BINANCE:ETHUSDT
1916.21,11.02,0.5784,1929.05,1882.17,1905.2,1905.19,2023-07-19 13:24:03,BINANCE:ETHUSDT
1916.88,10.69,0.5608,1929.05,1882.17,1906.19,1906.19,2023-07-19 13:25:03,BINANCE:ETHUSDT
1916.4,9.55,0.5008,1929.05,1882.17,1906.85,1906.85,2023-07-19 13:26:01,BINANCE:ETHUSDT
1917.53,11.77,0.6176,1929.05,1882.17,1905.75,1905.76,2023-07-19 13:27:01,BINANCE:ETHUSDT
1917.25,10.66,0.5591,1929.05,1882.17,1906.59,1906.59,2023-07-19 13:28:00,BINANCE:ETHUSDT
1918.15,10.97,0.5752,1929.05,1882.17,1907.19,1907.18,2023-07-19 13:28:59,BINANCE:ETHUSDT
1918.48,10.68,0.5598,1929.05,1882.17,1907.81,1907.8,2023-07-19 13:29:58,BINANCE:ETHUSDT
1920.64,7.01,0.3663,1929.05,1882.17,1913.66,1913.63,2023-07-19 13:49:22,BINANCE:ETHUSDT
1918.56,7.31,0.3825,1929.05,1882.17,1911.26,1911.25,2023-07-19 13:58:56,BINANCE:ETHUSDT
1918.56,7.31,0.3825,1929.05,1882.17,1911.26,1911.25,2023-07-19 13:58:56,BINANCE:ETHUSDT
1917.77,7.02,0.3674,1929.05,1882.17,1910.76,1910.75,2023-07-19 13:59:55,BINANCE:ETHUSDT
1917.29,6.31,0.3302,1929.05,1882.17,1910.98,1910.98,2023-07-19 14:00:54,BINANCE:ETHUSDT
