c,d,dp,h,l,o,pc,t,currency
0.8095,0.0138,1.7343,0.8547,0.7912,0.7957,0.7957,2023-07-19 13:12:43,BINANCE:XRPUSDT
0.8098,0.0142,1.7848,0.8547,0.7912,0.7955,0.7956,2023-07-19 13:13:03,BINANCE:XRPUSDT
0.81,0.0157,1.9766,0.8547,0.7912,0.7943,0.7943,2023-07-19 13:14:02,BINANCE:XRPUSDT
0.8109,0.0154,1.9359,0.8547,0.7912,0.7955,0.7955,2023-07-19 13:15:01,BINANCE:XRPUSDT
0.81,0.0178,2.2469,0.8547,0.7912,0.7922,0.7922,2023-07-19 13:16:01,BINANCE:XRPUSDT
0.8101,0.0174,2.195,0.8547,0.7912,0.7926,0.7927,2023-07-19 13:17:00,BINANCE:XRPUSDT
0.8067,0.0149,1.8818,0.8547,0.7916,0.792,0.7918,2023-07-19 13:17:59,BINANCE:XRPUSDT
0.8081,0.014,1.763,0.8547,0.7935,0.7942,0.7941,2023-07-19 13:18:58,BINANCE:XRPUSDT
0.8084,0.0134,1.6855,0.8547,0.7935,0.7951,0.795,2023-07-19 13:20:03,BINANCE:XRPUSDT
0.8092,0.0146,1.8374,0.8547,0.7935,0.7946,0.7946,2023-07-19 13:20:50,BINANCE:XRPUSDT
0.8081,0.0127,1.5967,0.8547,0.7935,0.7955,0.7954,2023-07-19 13:22:02,BINANCE:XRPUSDT
0.8081,0.0123,1.5456,0.8547,0.7935,0.7959,0.7958,2023-07-19 13:22:53,BINANCE:XRPUSDT
0.8077,0.0117,1.4698,0.8547,0.7935,0.7961,0.7959999999999999,2023-07-19 13:24:03,BINANCE:XRPUSDT
0.8085,0.0102,1.2777,0.8547,0.7935,0.7983,0.7983,2023-07-19 13:25:03,BINANCE:XRPUSDT
0.8086,0.0072,0.8984,0.8547,0.7935,0.8015,0.8014,2023-07-19 13:26:02,BINANCE:XRPUSDT
0.8097,0.0097,1.2125,0.8547,0.7935,0.8001,0.8,2023-07-19 13:27:01,BINANCE:XRPUSDT
0.8103,0.0106,1.3255,0.8547,0.7935,0.7997,0.7997,2023-07-19 13:28:00,BINANCE:XRPUSDT
0.8107,0.0106,1.3248,0.8547,0.7935,0.8002,0.8001,2023-07-19 13:28:59,BINANCE:XRPUSDT
0.8106,0.0102,1.2744,0.8547,0.7935,0.8004,0.8004,2023-07-19 13:29:59,BINANCE:XRPUSDT
0.8062,0.0001,0.0124,0.8547,0.7935,0.8062,0.8061,2023-07-19 13:49:22,BINANCE:XRPUSDT
0.8068,0.0011,0.1365,0.8547,0.7935,0.8056,0.8057,2023-07-19 13:58:56,BINANCE:XRPUSDT
0.8068,0.0011,0.1365,0.8547,0.7935,0.8056,0.8057,2023-07-19 13:58:56,BINANCE:XRPUSDT
0.8078,0.0034,0.4227,0.8547,0.7935,0.8044,0.8044,2023-07-19 13:59:55,BINANCE:XRPUSDT
0.8065,0.0008,0.0993,0.8547,0.7935,0.8057,0.8057,2023-07-19 14:00:54,BINANCE:XRPUSDT
